,amounts,ask_close,ask_high,ask_low,ask_open,assets,bid_close,bid_high,bid_low,bid_open,currency,frozen_amounts,frozen_currency
2018-03-13 01:12:00,9000.0,107.073,107.094,107.069,107.075,1001129.18464,107.071,107.092,107.066,107.072,37492.59373750014,0.0,0.0
2018-03-13 01:13:00,9000.0,107.071,107.076,107.061,107.073,1001111.1846850001,107.069,107.074,107.059,107.071,37492.59373750014,0.0,0.0
2018-03-13 01:14:00,9000.0,107.061,107.088,107.056,107.071,1001021.1849100001,107.059,107.087,107.054,107.069,37492.59373750014,0.0,0.0
2018-03-13 01:15:00,9000.0,107.066,107.066,107.044,107.061,1001093.18473,107.067,107.067,107.042,107.059,37492.59373750014,0.0,0.0
2018-03-13 01:16:00,9000.0,107.082,107.088,107.056,107.066,1001210.1844375,107.08,107.088,107.056,107.067,37492.59373750014,0.0,0.0
2018-03-13 01:17:00,9000.0,107.09,107.095,107.079,107.082,1001282.1842575,107.088,107.094,107.078,107.08,37492.59373750014,0.0,0.0
2018-03-13 01:18:00,9000.0,107.14,107.143,107.09,107.09,1001723.1831550001,107.137,107.142,107.088,107.088,37492.59373750014,0.0,0.0
2018-03-13 01:19:00,9000.0,107.129,107.14,107.128,107.14,1001642.1833575,107.128,107.138,107.127,107.137,37492.59373750014,0.0,0.0
2018-03-13 01:20:00,9000.0,107.134,107.143,107.128,107.129,1001696.1832225,107.134,107.141,107.127,107.128,37492.59373750014,0.0,0.0
2018-03-13 01:21:00,9000.0,107.123,107.137,107.12,107.134,1001579.183515,107.121,107.135,107.118,107.134,37492.59373750014,0.0,0.0
2018-03-13 01:22:00,9000.0,107.124,107.133,107.118,107.123,1001588.1834925,107.122,107.131,107.116,107.121,37492.59373750014,0.0,0.0
2018-03-13 01:23:00,9000.0,107.125,107.128,107.118,107.124,1001588.1834925,107.122,107.127,107.117,107.122,37492.59373750014,0.0,0.0
2018-03-13 01:24:00,9000.0,107.138,107.145,107.124,107.125,1001714.1831775,107.136,107.143,107.121,107.122,37492.59373750014,0.0,0.0
2018-03-13 01:25:00,9000.0,107.16,107.16,107.128,107.138,1001930.1826375,107.16,107.16,107.127,107.136,37492.59373750014,0.0,0.0
2018-03-13 01:26:00,9000.0,107.216,107.221,107.16,107.16,1002416.1814225,107.214,107.218,107.16,107.16,37492.59373750014,0.0,0.0
2018-03-13 01:27:00,9000.0,107.213,107.22,107.192,107.216,1002380.1815124999,107.21,107.218,107.189,107.214,37492.59373750014,0.0,0.0
2018-03-13 01:28:00,9000.0,107.202,107.224,107.201,107.213,1002290.1817375,107.2,107.223,107.199,107.21,37492.59373750014,0.0,0.0
2018-03-13 01:29:00,9000.0,107.201,107.203,107.197,107.202,1002272.1817825,107.198,107.202,107.195,107.2,37492.59373750014,0.0,0.0
2018-03-13 01:30:00,9000.0,107.195,107.221,107.189,107.201,1002227.181895,107.193,107.221,107.187,107.198,37492.59373750014,0.0,0.0
2018-03-13 01:31:00,9000.0,107.198,107.199,107.192,107.195,1002263.1818050001,107.197,107.198,107.19,107.193,37492.59373750014,0.0,0.0
2018-03-13 01:32:00,9000.0,107.182,107.202,107.179,107.198,1002110.1821875001,107.18,107.203,107.177,107.197,37492.59373750014,0.0,0.0
2018-03-13 01:33:00,9000.0,107.167,107.182,107.16,107.182,1001975.1825250001,107.165,107.181,107.16,107.18,37492.59373750014,0.0,0.0
